operation1,operation2,split,train_fold,run,bacc
brightness,rotation,1,1,45328968,0.8524966239929199
brightness,rotation,2,0,45328968,0.850143313407898
brightness,rotation,2,1,45328968,0.8388131856918335
brightness,rotation,3,0,45328968,0.8275119066238403
brightness,rotation,3,1,45328968,0.8710625171661377
brightness,rotation,4,0,45328968,0.8380043506622314
brightness,rotation,4,1,45328968,0.8159158229827881
brightness,saturation,0,0,45329306,0.8046808242797852
brightness,saturation,0,0,45334898,0.8039731979370117
brightness,saturation,0,1,45329306,0.8127796649932861
brightness,saturation,0,1,45334898,0.8127796649932861
brightness,saturation,1,0,45329306,0.7947795391082764
brightness,saturation,1,0,45334898,0.7947795391082764
brightness,saturation,1,1,45329306,0.8228632211685181
brightness,saturation,1,1,45334898,0.8228632211685181
brightness,saturation,2,0,45329306,0.8136829137802124
brightness,saturation,2,0,45334898,0.8136829137802124
brightness,saturation,2,1,45329306,0.8149453401565552
brightness,saturation,2,1,45334898,0.8149453401565552
brightness,saturation,3,0,45329306,0.7936112880706787
brightness,saturation,3,0,45334898,0.7936112880706787
brightness,saturation,3,1,45329306,0.8359328508377075
brightness,saturation,3,1,45334898,0.8389909267425537
brightness,saturation,4,0,45329306,0.823267936706543
brightness,saturation,4,0,45334898,0.8247900009155273
brightness,saturation,4,1,45329306,0.8026516437530518
brightness,saturation,4,1,45334898,0.8026516437530518
brightness,scaling,0,0,45332950,0.8419696092605591
brightness,scaling,0,1,45332950,0.8476607799530029
brightness,scaling,1,0,45332950,0.8204847574234009
brightness,scaling,1,1,45332950,0.8526910543441772
brightness,scaling,2,0,45332950,0.8350906372070312
brightness,scaling,2,1,45332950,0.822808027267456
brightness,scaling,3,0,45332950,0.8379806280136108
brightness,scaling,3,1,45332950,0.8751295804977417
brightness,scaling,4,0,45332950,0.8380972146987915
brightness,scaling,4,1,45332950,0.8216440677642822
brightness,shear_x,0,0,45332022,0.8127754926681519
brightness,shear_x,0,1,45332022,0.8036823272705078
brightness,shear_x,1,0,45332022,0.7963252663612366
brightness,shear_x,1,1,45332022,0.8437654972076416
brightness,shear_x,2,0,45332022,0.7957421541213989
brightness,shear_x,2,1,45332022,0.8079366683959961
brightness,shear_x,3,0,45332022,0.8091244697570801
brightness,shear_x,3,1,45332022,0.8634172677993774
brightness,shear_x,4,0,45332022,0.8036984205245972
brightness,shear_x,4,1,45332022,0.8172732591629028
brightness,shear_y,0,0,45327946,0.8450374603271484
brightness,shear_y,0,1,45327946,0.8392781019210815
brightness,shear_y,1,0,45327946,0.8349977731704712
brightness,shear_y,1,1,45327946,0.8651950359344482
brightness,shear_y,2,0,45327946,0.8565853834152222
brightness,shear_y,2,1,45327946,0.8192610740661621
brightness,shear_y,3,0,45327946,0.8046571016311646
brightness,shear_y,3,1,45327946,0.8652958869934082
brightness,shear_y,4,0,45327946,0.8288105726242065
brightness,shear_y,4,1,45327946,0.811072826385498
brightness,translate_x,0,0,45327287,0.8020360469818115
brightness,translate_x,0,1,45327287,0.8391458988189697
brightness,translate_x,1,0,45327287,0.8011287450790405
brightness,translate_x,1,1,45327287,0.8505411148071289
brightness,translate_x,2,0,45327287,0.8115459680557251
brightness,translate_x,2,1,45327287,0.8230950832366943
brightness,translate_x,3,0,45327287,0.8231453895568848
brightness,translate_x,3,1,45327287,0.857805609703064
brightness,translate_x,4,0,45327287,0.8368360996246338
brightness,translate_x,4,1,45327287,0.8256102800369263
brightness,translate_y,0,0,45327214,0.832115650177002
brightness,translate_y,0,1,45327214,0.8268126249313354
brightness,translate_y,1,0,45327214,0.8077625036239624
brightness,translate_y,1,1,45327214,0.8777997493743896
brightness,translate_y,2,0,45327214,0.8170807361602783
brightness,translate_y,2,1,45327214,0.8248571157455444
brightness,translate_y,3,0,45327214,0.8228528499603271
brightness,translate_y,3,1,45327214,0.8602427244186401
brightness,translate_y,4,0,45327214,0.8157267570495605
brightness,translate_y,4,1,45327214,0.8038383722305298
brightness,vertical_flip,0,0,45327936,0.8108758926391602
brightness,vertical_flip,0,1,45327936,0.819400429725647
brightness,vertical_flip,1,0,45327936,0.7996225357055664
brightness,vertical_flip,1,1,45327936,0.8308963775634766
brightness,vertical_flip,2,0,45327936,0.8068117499351501
brightness,vertical_flip,2,1,45327936,0.8182916641235352
brightness,vertical_flip,3,0,45327936,0.7854553461074829
brightness,vertical_flip,3,1,45327936,0.8478553295135498
brightness,vertical_flip,4,0,45327936,0.8148194551467896
brightness,vertical_flip,4,1,45327936,0.819610595703125
contrast,brightness,0,0,45327410,0.8228211402893066
contrast,brightness,0,1,45327410,0.8064857721328735
contrast,brightness,1,0,45327410,0.8101919889450073
contrast,brightness,1,1,45327410,0.827178955078125
contrast,brightness,2,0,45327410,0.7949653267860413
contrast,brightness,2,1,45327410,0.818120002746582
contrast,brightness,3,0,45327410,0.8108758926391602
contrast,brightness,3,1,45327410,0.8478938341140747
contrast,brightness,4,0,45327410,0.8266421556472778
contrast,brightness,4,1,45327410,0.8184466361999512
contrast,equalize,0,0,45327865,0.8092471361160278
contrast,equalize,0,1,45327865,0.7785975933074951
contrast,equalize,1,0,45327865,0.7839016914367676
contrast,equalize,1,1,45327865,0.8230733871459961
contrast,equalize,2,0,45327865,0.8228152990341187
contrast,equalize,2,1,45327865,0.7967684268951416
contrast,equalize,3,0,45327865,0.7858842611312866
contrast,equalize,3,1,45327865,0.822498083114624
contrast,equalize,4,0,45327865,0.8137203454971313
contrast,equalize,4,1,45327865,0.7994385957717896
contrast,gaussian_blur,0,0,45327403,0.7997055053710938
contrast,gaussian_blur,0,1,45327403,0.8224585056304932
contrast,gaussian_blur,1,0,45327403,0.8016505241394043
contrast,gaussian_blur,1,1,45327403,0.8410412073135376
contrast,gaussian_blur,2,0,45327403,0.7925359010696411
contrast,gaussian_blur,2,1,45327403,0.8015105724334717
contrast,gaussian_blur,3,0,45327403,0.8183478116989136
contrast,gaussian_blur,3,1,45327403,0.8262312412261963
contrast,gaussian_blur,4,0,45327403,0.8221688270568848
contrast,gaussian_blur,4,1,45327403,0.8116002082824707
contrast,gaussian_noise,0,0,45330458,0.8404395580291748
contrast,gaussian_noise,0,1,45330458,0.8356614112854004
contrast,gaussian_noise,1,0,45330458,0.8075392246246338
contrast,gaussian_noise,1,1,45330458,0.8346692323684692
contrast,gaussian_noise,2,0,45330458,0.8270513415336609
contrast,gaussian_noise,2,1,45330458,0.8179265260696411
contrast,gaussian_noise,3,0,45330458,0.818462610244751
contrast,gaussian_noise,3,1,45330458,0.8499273061752319
contrast,gaussian_noise,4,0,45330458,0.8561446666717529
contrast,gaussian_noise,4,1,45330458,0.8150619268417358
contrast,grid_distortion,0,0,45327824,0.8307616710662842
contrast,grid_distortion,0,1,45327824,0.8320603370666504
contrast,grid_distortion,1,0,45327824,0.8168632984161377
contrast,grid_distortion,1,1,45327824,0.8482756614685059
contrast,grid_distortion,2,0,45327824,0.8144280910491943
contrast,grid_distortion,2,1,45327824,0.8068736791610718
contrast,grid_distortion,3,0,45327824,0.8272569179534912
contrast,grid_distortion,3,1,45327824,0.8423372507095337
contrast,grid_distortion,4,0,45327824,0.8412164449691772
contrast,grid_distortion,4,1,45327824,0.8229401111602783
contrast,horizontal_flip,0,0,45328879,0.8326375484466553
contrast,horizontal_flip,0,0,45334537,0.8326375484466553
contrast,horizontal_flip,0,1,45328879,0.8123761415481567
contrast,horizontal_flip,0,1,45334537,0.812718391418457
contrast,horizontal_flip,1,0,45328879,0.8231749534606934
contrast,horizontal_flip,1,0,45334537,0.8201308250427246
contrast,horizontal_flip,1,1,45328879,0.8420658111572266
contrast,horizontal_flip,1,1,45334537,0.8420658111572266
contrast,horizontal_flip,2,0,45328879,0.8144280910491943
contrast,horizontal_flip,2,0,45334537,0.8119373321533203
contrast,horizontal_flip,2,1,45328879,0.8291728496551514
contrast,horizontal_flip,2,1,45334537,0.8291728496551514
contrast,horizontal_flip,3,0,45328879,0.7957243919372559
contrast,horizontal_flip,3,0,45334537,0.7957243919372559
contrast,horizontal_flip,3,1,45328879,0.8385645151138306
contrast,horizontal_flip,3,1,45334537,0.8400934934616089
contrast,horizontal_flip,4,0,45328879,0.8385262489318848
contrast,horizontal_flip,4,0,45334537,0.8385262489318848
contrast,horizontal_flip,4,1,45328879,0.8172670602798462
contrast,horizontal_flip,4,1,45334537,0.8189126253128052
contrast,median_blur,0,0,45332029,0.8224673271179199
contrast,median_blur,0,1,45332029,0.8177319765090942
contrast,median_blur,1,0,45332029,0.7834786176681519
contrast,median_blur,1,1,45332029,0.8329851627349854
contrast,median_blur,2,0,45332029,0.7986617088317871
contrast,median_blur,2,1,45332029,0.7935158014297485
contrast,median_blur,3,0,45332029,0.7860997915267944
contrast,median_blur,3,1,45332029,0.8304147720336914
contrast,median_blur,4,0,45332029,0.825050950050354
contrast,median_blur,4,1,45332029,0.7843810319900513
contrast,random_crop,0,0,45327928,0.8326375484466553
contrast,random_crop,0,1,45327928,0.8231959342956543
contrast,random_crop,1,0,45327928,0.8108443021774292
contrast,random_crop,1,1,45327928,0.8293673992156982
contrast,random_crop,2,0,45327928,0.8108996152877808
contrast,random_crop,2,1,45327928,0.8256102800369263
contrast,random_crop,3,0,45327928,0.8219078779220581
contrast,random_crop,3,1,45327928,0.8449522256851196
contrast,random_crop,4,0,45327928,0.8312004804611206
contrast,random_crop,4,1,45327928,0.8134715557098389
contrast,rotation,0,0,45330831,0.8490501642227173
contrast,rotation,0,1,45330831,0.8553060293197632
contrast,rotation,1,0,45330831,0.8472118377685547
contrast,rotation,1,1,45330831,0.8551510572433472
contrast,rotation,2,0,45330831,0.8474905490875244
contrast,rotation,2,1,45330831,0.8331233263015747
contrast,rotation,3,0,45330831,0.8376128673553467
contrast,rotation,3,1,45330831,0.8822704553604126
contrast,rotation,4,0,45330831,0.8399415016174316
contrast,rotation,4,1,45330831,0.8072232007980347
contrast,saturation,0,0,45332008,0.8057562112808228
contrast,saturation,0,0,45335369,0.8041037321090698
contrast,saturation,0,1,45332008,0.8075331449508667
contrast,saturation,0,1,45335369,0.8075331449508667
contrast,saturation,1,0,45332008,0.7818498611450195
contrast,saturation,1,0,45335369,0.7826641798019409
contrast,saturation,1,1,45332008,0.8182531595230103
contrast,saturation,1,1,45335369,0.8182531595230103
contrast,saturation,2,0,45332008,0.7989463806152344
contrast,saturation,2,0,45335369,0.8004684448242188
contrast,saturation,2,1,45332008,0.8035825490951538
contrast,saturation,2,1,45335369,0.8049951791763306
contrast,saturation,3,0,45332008,0.7948032021522522
contrast,saturation,3,0,45335369,0.798638105392456
contrast,saturation,3,1,45332008,0.8304532766342163
contrast,saturation,3,1,45335369,0.8319822549819946
contrast,saturation,4,0,45332008,0.8244361877441406
contrast,saturation,4,0,45335369,0.8244361877441406
contrast,saturation,4,1,45332008,0.7972885370254517
contrast,saturation,4,1,45335369,0.7982975244522095
contrast,scaling,0,0,45327224,0.8528158664703369
contrast,scaling,0,1,45327224,0.8358319997787476
contrast,scaling,1,0,45327224,0.8039494752883911
contrast,scaling,1,1,45327224,0.854103684425354
contrast,scaling,2,0,45327224,0.8454841375350952
contrast,scaling,2,1,45327224,0.8324244022369385
contrast,scaling,3,0,45327224,0.8439760208129883
contrast,scaling,3,1,45327224,0.8747416734695435
contrast,scaling,4,0,45327224,0.8485283851623535
contrast,scaling,4,1,45327224,0.8253231048583984
contrast,shear_x,0,0,45331953,0.8054636716842651
contrast,shear_x,0,1,45331953,0.8039093017578125
contrast,shear_x,1,0,45331953,0.7918658256530762
contrast,shear_x,1,1,45331953,0.8410953283309937
contrast,shear_x,2,0,45331953,0.791567325592041
contrast,shear_x,2,1,45331953,0.8051500916481018
contrast,shear_x,3,0,45331953,0.8139753937721252
contrast,shear_x,3,1,45331953,0.8500210046768188
contrast,shear_x,4,0,45331953,0.7908596396446228
contrast,shear_x,4,1,45331953,0.8284353017807007
contrast,shear_y,0,0,45329697,0.8558837175369263
contrast,shear_y,0,1,45329697,0.8470398187637329
contrast,shear_y,1,0,45329697,0.8205301761627197
contrast,shear_y,1,1,45329697,0.855128288269043
contrast,shear_y,2,0,45329697,0.8617347478866577
contrast,shear_y,2,1,45329697,0.8185631036758423
contrast,shear_y,3,0,45329697,0.8174484968185425
contrast,shear_y,3,1,45329697,0.8716835975646973
contrast,shear_y,4,0,45329697,0.8151119947433472
contrast,shear_y,4,1,45329697,0.8000980615615845
contrast,translate_x,0,0,45328967,0.8165411949157715
contrast,translate_x,0,1,45328967,0.8214339017868042
contrast,translate_x,1,0,45328967,0.7998676300048828
contrast,translate_x,1,1,45328967,0.85065758228302
contrast,translate_x,2,0,45328967,0.814720630645752
contrast,translate_x,2,1,45328967,0.813532829284668
contrast,translate_x,3,0,45328967,0.8238826990127563
contrast,translate_x,3,1,45328967,0.8495393991470337
contrast,translate_x,4,0,45328967,0.8460297584533691
contrast,translate_x,4,1,45328967,0.8262083530426025
contrast,translate_y,0,0,45327879,0.8255805969238281
contrast,translate_y,0,1,45327879,0.8306082487106323
contrast,translate_y,1,0,45327879,0.7941330671310425
contrast,translate_y,1,1,45327879,0.8779162168502808
contrast,translate_y,2,0,45327879,0.8102157115936279
contrast,translate_y,2,1,45327879,0.8134006261825562
contrast,translate_y,3,0,45327879,0.8221452236175537
contrast,translate_y,3,1,45327879,0.8585586547851562
contrast,translate_y,4,0,45327879,0.8327305316925049
contrast,translate_y,4,1,45327879,0.814363956451416
contrast,vertical_flip,0,0,45328935,0.796785831451416
contrast,vertical_flip,0,1,45328935,0.8181979656219482
contrast,vertical_flip,1,0,45328935,0.8008362054824829
contrast,vertical_flip,1,1,45328935,0.8177715539932251
contrast,vertical_flip,2,0,45328935,0.8073336482048035
contrast,vertical_flip,2,1,45328935,0.8169956207275391
contrast,vertical_flip,3,0,45328935,0.7980390787124634
contrast,vertical_flip,3,1,45328935,0.8496173620223999
contrast,vertical_flip,4,0,45328935,0.8094151020050049
contrast,vertical_flip,4,1,45328935,0.8155050277709961
equalize,brightness,0,0,45327098,0.8165411949157715
equalize,brightness,0,1,45327098,0.8078826665878296
equalize,brightness,1,0,45327098,0.7899208068847656
equalize,brightness,1,1,45327098,0.8292124271392822
equalize,brightness,2,0,45327098,0.8121607303619385
equalize,brightness,2,1,45327098,0.8009904623031616
equalize,brightness,3,0,45327098,0.7958172559738159
equalize,brightness,3,1,45327098,0.8231574296951294
