augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
all,5,0,1,0.5719398856163025,0.44320130348205566,0.12873858213424683
all,5,1,0,0.5653852224349976,0.46093738079071045,0.10444784164428711
all,5,1,1,0.570716381072998,0.4517035484313965,0.11901283264160156
all,5,2,0,0.5637528896331787,0.46584194898605347,0.09791094064712524
all,5,2,1,0.5532931089401245,0.46259772777557373,0.09069538116455078
all,5,3,0,0.5634087324142456,0.47595125436782837,0.08745747804641724
all,5,3,1,0.5399613380432129,0.441262423992157,0.09869891405105591
all,5,4,0,0.5350703597068787,0.4360010027885437,0.09906935691833496
all,5,4,1,0.5867597460746765,0.48202264308929443,0.10473710298538208
geometric,1,0,0,0.5464231371879578,0.4572561979293823,0.08916693925857544
geometric,1,0,1,0.5039615631103516,0.44320130348205566,0.0607602596282959
geometric,1,1,0,0.5243576765060425,0.46093738079071045,0.06342029571533203
geometric,1,1,1,0.539501428604126,0.4517035484313965,0.08779788017272949
geometric,1,2,0,0.5419012308120728,0.46584194898605347,0.07605928182601929
geometric,1,2,1,0.5440276861190796,0.46259772777557373,0.08142995834350586
geometric,1,3,0,0.535881519317627,0.47595125436782837,0.059930264949798584
geometric,1,3,1,0.5182338356971741,0.441262423992157,0.07697141170501709
geometric,1,4,0,0.494341105222702,0.4360010027885437,0.058340102434158325
geometric,1,4,1,0.5501827001571655,0.48202264308929443,0.0681600570678711
geometric,2,0,0,0.5371623039245605,0.4572561979293823,0.07990610599517822
geometric,2,0,1,0.5376619100570679,0.44320130348205566,0.09446060657501221
geometric,2,1,0,0.5311551094055176,0.46093738079071045,0.07021772861480713
geometric,2,1,1,0.536750316619873,0.4517035484313965,0.08504676818847656
geometric,2,2,0,0.567865252494812,0.46584194898605347,0.10202330350875854
geometric,2,2,1,0.5433353185653687,0.46259772777557373,0.08073759078979492
geometric,2,3,0,0.553922176361084,0.47595125436782837,0.07797092199325562
geometric,2,3,1,0.5224745273590088,0.441262423992157,0.0812121033668518
geometric,2,4,0,0.500116765499115,0.4360010027885437,0.06411576271057129
geometric,2,4,1,0.5721175670623779,0.48202264308929443,0.0900949239730835
geometric,3,0,0,0.550632894039154,0.4572561979293823,0.09337669610977173
geometric,3,0,1,0.5467730164527893,0.44320130348205566,0.10357171297073364
geometric,3,1,0,0.5629754662513733,0.46093738079071045,0.10203808546066284
geometric,3,1,1,0.5422190427780151,0.4517035484313965,0.09051549434661865
geometric,3,2,0,0.5754694938659668,0.46584194898605347,0.10962754487991333
geometric,3,2,1,0.558444619178772,0.46259772777557373,0.09584689140319824
geometric,3,3,0,0.5501530766487122,0.47595125436782837,0.07420182228088379
geometric,3,3,1,0.5450212955474854,0.441262423992157,0.10375887155532837
geometric,3,4,0,0.5119905471801758,0.4360010027885437,0.07598954439163208
geometric,3,4,1,0.591964602470398,0.48202264308929443,0.10994195938110352
geometric,4,0,0,0.5379452705383301,0.4572561979293823,0.08068907260894775
geometric,4,0,1,0.5661481618881226,0.44320130348205566,0.1229468584060669
geometric,4,1,0,0.575140655040741,0.46093738079071045,0.11420327425003052
geometric,4,1,1,0.5273899435997009,0.4517035484313965,0.07568639516830444
geometric,4,2,0,0.5581114292144775,0.46584194898605347,0.09226948022842407
geometric,4,2,1,0.5461054444313049,0.46259772777557373,0.0835077166557312
geometric,4,3,0,0.5456766486167908,0.47595125436782837,0.0697253942489624
geometric,4,3,1,0.5247055292129517,0.441262423992157,0.08344310522079468
geometric,4,4,0,0.5168061256408691,0.4360010027885437,0.08080512285232544
geometric,4,4,1,0.5825992822647095,0.48202264308929443,0.10057663917541504
geometric,5,0,0,0.5383844971656799,0.4572561979293823,0.08112829923629761
geometric,5,0,1,0.575788676738739,0.44320130348205566,0.13258737325668335
geometric,5,1,0,0.5541216135025024,0.46093738079071045,0.09318423271179199
geometric,5,1,1,0.5384124517440796,0.4517035484313965,0.0867089033126831
geometric,5,2,0,0.5437027215957642,0.46584194898605347,0.0778607726097107
geometric,5,2,1,0.5341136455535889,0.46259772777557373,0.07151591777801514
geometric,5,3,0,0.5326194763183594,0.47595125436782837,0.056668221950531006
geometric,5,3,1,0.5237100124359131,0.441262423992157,0.0824475884437561
geometric,5,4,0,0.5076456069946289,0.4360010027885437,0.0716446042060852
geometric,5,4,1,0.5688086748123169,0.48202264308929443,0.08678603172302246
photometric,1,0,0,0.5249301195144653,0.4572561979293823,0.06767392158508301
photometric,1,0,1,0.48871129751205444,0.44320130348205566,0.04550999402999878
photometric,1,1,0,0.518722414970398,0.46093738079071045,0.0577850341796875
photometric,1,1,1,0.48889172077178955,0.4517035484313965,0.037188172340393066
photometric,1,2,0,0.5144680142402649,0.46584194898605347,0.048626065254211426
photometric,1,2,1,0.49426090717315674,0.46259772777557373,0.03166317939758301
photometric,1,3,0,0.5152493715286255,0.47595125436782837,0.03929811716079712
photometric,1,3,1,0.48336175084114075,0.441262423992157,0.042099326848983765
photometric,1,4,0,0.4675639867782593,0.4360010027885437,0.031562983989715576
photometric,1,4,1,0.5245929956436157,0.48202264308929443,0.04257035255432129
photometric,2,0,0,0.5506869554519653,0.4572561979293823,0.09343075752258301
photometric,2,0,1,0.5004624128341675,0.44320130348205566,0.057261109352111816
photometric,2,1,0,0.5374486446380615,0.46093738079071045,0.07651126384735107
photometric,2,1,1,0.5262623429298401,0.4517035484313965,0.0745587944984436
photometric,2,2,0,0.5395249724388123,0.46584194898605347,0.07368302345275879
photometric,2,2,1,0.5149562358856201,0.46259772777557373,0.05235850811004639
photometric,2,3,0,0.5282999277114868,0.47595125436782837,0.05234867334365845
photometric,2,3,1,0.49938875436782837,0.441262423992157,0.05812633037567139
photometric,2,4,0,0.47315970063209534,0.4360010027885437,0.037158697843551636
photometric,2,4,1,0.5392357110977173,0.48202264308929443,0.05721306800842285
photometric,3,0,0,0.5449398756027222,0.4572561979293823,0.08768367767333984
photometric,3,0,1,0.5162345170974731,0.44320130348205566,0.07303321361541748
photometric,3,1,0,0.5320800542831421,0.46093738079071045,0.07114267349243164
photometric,3,1,1,0.536798894405365,0.4517035484313965,0.0850953459739685
photometric,3,2,0,0.553626298904419,0.46584194898605347,0.08778434991836548
photometric,3,2,1,0.5301797389984131,0.46259772777557373,0.06758201122283936
photometric,3,3,0,0.5464167594909668,0.47595125436782837,0.07046550512313843
photometric,3,3,1,0.5099051594734192,0.441262423992157,0.06864273548126221
photometric,3,4,0,0.47581973671913147,0.4360010027885437,0.03981873393058777
photometric,3,4,1,0.5522336959838867,0.48202264308929443,0.07021105289459229
photometric,4,0,0,0.5190036296844482,0.4572561979293823,0.06174743175506592
photometric,4,0,1,0.5152485966682434,0.44320130348205566,0.07204729318618774
photometric,4,1,0,0.5231859683990479,0.46093738079071045,0.0622485876083374
photometric,4,1,1,0.5610681176185608,0.4517035484313965,0.1093645691871643
photometric,4,2,0,0.5470081567764282,0.46584194898605347,0.08116620779037476
photometric,4,2,1,0.5465954542160034,0.46259772777557373,0.08399772644042969
photometric,4,3,0,0.555036187171936,0.47595125436782837,0.07908493280410767
photometric,4,3,1,0.5071498155593872,0.441262423992157,0.06588739156723022
photometric,4,4,0,0.48301267623901367,0.4360010027885437,0.04701167345046997
photometric,4,4,1,0.5580397844314575,0.48202264308929443,0.07601714134216309
photometric,5,0,0,0.549700140953064,0.4572561979293823,0.09244394302368164
photometric,5,0,1,0.5150790214538574,0.44320130348205566,0.07187771797180176
photometric,5,1,0,0.5308201909065247,0.46093738079071045,0.06988281011581421
photometric,5,1,1,0.5372380018234253,0.4517035484313965,0.08553445339202881
photometric,5,2,0,0.5565662384033203,0.46584194898605347,0.09072428941726685
photometric,5,2,1,0.531828761100769,0.46259772777557373,0.06923103332519531
photometric,5,3,0,0.5346900820732117,0.47595125436782837,0.0587388277053833
photometric,5,3,1,0.500184953212738,0.441262423992157,0.058922529220581055
photometric,5,4,0,0.48637866973876953,0.4360010027885437,0.05037766695022583
photometric,5,4,1,0.5784283876419067,0.48202264308929443,0.0964057445526123
top10,1,0,0,0.5429948568344116,0.4572561979293823,0.0857386589050293
top10,1,0,1,0.5058061480522156,0.44320130348205566,0.06260484457015991
top10,1,1,0,0.5383954644203186,0.46093738079071045,0.07745808362960815
top10,1,1,1,0.5195952653884888,0.4517035484313965,0.06789171695709229
top10,1,2,0,0.5377625823020935,0.46584194898605347,0.07192063331604004
top10,1,2,1,0.5358762145042419,0.46259772777557373,0.07327848672866821
top10,1,3,0,0.5246561765670776,0.47595125436782837,0.04870492219924927
top10,1,3,1,0.5184706449508667,0.441262423992157,0.07720822095870972
top10,1,4,0,0.48409193754196167,0.4360010027885437,0.04809093475341797
top10,1,4,1,0.5526673793792725,0.48202264308929443,0.07064473628997803
top10,2,0,0,0.5544149875640869,0.4572561979293823,0.09715878963470459
top10,2,0,1,0.5132040977478027,0.44320130348205566,0.07000279426574707
top10,2,1,0,0.5512418746948242,0.46093738079071045,0.09030449390411377
top10,2,1,1,0.5252127647399902,0.4517035484313965,0.07350921630859375
top10,2,2,0,0.5457236170768738,0.46584194898605347,0.07988166809082031
top10,2,2,1,0.5504834651947021,0.46259772777557373,0.08788573741912842
top10,2,3,0,0.5302451848983765,0.47595125436782837,0.054293930530548096
top10,2,3,1,0.5179564952850342,0.441262423992157,0.0766940712928772
top10,2,4,0,0.5074036717414856,0.4360010027885437,0.0714026689529419
top10,2,4,1,0.5750514268875122,0.48202264308929443,0.09302878379821777
top10,3,0,0,0.5513368844985962,0.4572561979293823,0.09408068656921387
top10,3,0,1,0.5254522562026978,0.44320130348205566,0.08225095272064209
top10,3,1,0,0.5487592816352844,0.46093738079071045,0.08782190084457397
top10,3,1,1,0.5345782041549683,0.4517035484313965,0.08287465572357178
top10,3,2,0,0.5567119717597961,0.46584194898605347,0.09087002277374268
top10,3,2,1,0.5449140071868896,0.46259772777557373,0.08231627941131592
top10,3,3,0,0.535483717918396,0.47595125436782837,0.05953246355056763
top10,3,3,1,0.5331738591194153,0.441262423992157,0.0919114351272583
top10,3,4,0,0.5033394694328308,0.4360010027885437,0.06733846664428711
top10,3,4,1,0.5662729740142822,0.48202264308929443,0.08425033092498779
top10,4,0,0,0.5524246096611023,0.4572561979293823,0.09516841173171997
top10,4,0,1,0.554117739200592,0.44320130348205566,0.11091643571853638
top10,4,1,0,0.560528039932251,0.46093738079071045,0.09959065914154053
top10,4,1,1,0.5415221452713013,0.4517035484313965,0.08981859683990479
