augmentations,ops,bacc,baseline_bacc,diff
geometric,1,0.7848723590373993,0.7332581281661987,0.05161423087120056
geometric,2,0.7945731520652771,0.7332581281661987,0.06131502389907837
geometric,3,0.8014421701431275,0.7332581281661987,0.0681840419769287
geometric,4,0.8035753726959228,0.7332581281661987,0.07031724452972413
geometric,5,0.8005239129066467,0.7332581281661987,0.067265784740448
photometric,1,0.7729164659976959,0.7332581281661987,0.03965833783149719
photometric,2,0.782290232181549,0.7332581281661987,0.04903210401535034
photometric,3,0.7841769158840179,0.7332581281661987,0.050918787717819214
photometric,4,0.7854106307029725,0.7332581281661987,0.052152502536773684
photometric,5,0.7830857455730438,0.7332581281661987,0.04982761740684509
