augmentations,ops,bacc,baseline_bacc,diff,t_stat,p_value,p_value_adj,reject
all,1,0.8445567488670349,0.7897118091583252,0.05484493970870972,4.549983708043234,0.003056298739221696,0.01981793838401984,True
all,2,0.8525914907455444,0.7897118091583252,0.06287968158721924,6.514957201804886,0.0006366398424970135,0.008912957794958189,True
all,3,0.8554981470108032,0.7897118091583252,0.06578633785247803,6.418023213891447,0.0006814818446283086,0.008912957794958189,True
all,4,0.8510342836380005,0.7897118091583252,0.061322474479675294,3.9818508038727125,0.005255671158638955,0.01981793838401984,True
all,5,0.8411954045295715,0.7897118091583252,0.05148359537124634,4.275592952775795,0.0039482875005558355,0.01981793838401984,True
top10,1,0.8483344912528992,0.7897118091583252,0.058622682094573976,3.8697903621431133,0.00588137940128641,0.01981793838401984,True
top10,2,0.8516536235809327,0.7897118091583252,0.06194181442260742,4.783682907840089,0.00247724229800248,0.01981793838401984,True
top10,3,0.852419638633728,0.7897118091583252,0.06270782947540283,4.663057811750032,0.002758449067792787,0.01981793838401984,True
top10,4,0.8510274887084961,0.7897118091583252,0.0613156795501709,5.697380977189036,0.0011621581360932855,0.011621581360932855,True
top10,5,0.8456470489501953,0.7897118091583252,0.055935239791870116,4.313235218074065,0.003809621240276284,0.01981793838401984,True
top5,1,0.847144603729248,0.7897118091583252,0.05743279457092285,8.02267898606794,0.00024320319359238282,0.003648047903885742,True
top5,2,0.8534140467643738,0.7897118091583252,0.06370223760604858,6.447463928846845,0.0006674792953426319,0.008912957794958189,True
top5,3,0.851510763168335,0.7897118091583252,0.06179895401000977,5.846939842065788,0.0010359083653788358,0.011394992019167193,True
top5,4,0.8454722404479981,0.7897118091583252,0.055760431289672854,4.584808255256594,0.002960752009189368,0.01981793838401984,True
top5,5,0.8419756650924682,0.7897118091583252,0.052263855934143066,5.450907861469036,0.0014119698995013787,0.012707729095512408,True
