augmentations,ops,bacc,baseline_bacc,diff,t_stat,p_value,p_value_adj,reject
all,1,0.5325108975172043,0.45767754316329956,0.07483335435390473,11.155717499782499,5.0478352316955334e-05,0.000605740227803464,True
all,2,0.5512175977230072,0.45767754316329956,0.09354005455970764,8.736344294516527,0.00016274708041439498,0.0017902178845583447,True
all,3,0.5561814069747925,0.45767754316329956,0.09850386381149293,15.719879246987572,9.470652931416051e-06,0.00014205979397124077,True
all,4,0.5590475261211395,0.45767754316329956,0.10136998295783997,11.577576798185447,4.2177696111976885e-05,0.0005483100494556995,True
all,5,0.562410706281662,0.45767754316329956,0.10473316311836242,15.426506979762868,1.0389127935253564e-05,0.0001454477910935499,True
top10,1,0.5260316669940949,0.45767754316329956,0.06835412383079528,6.140432631057423,0.0008320753470505887,0.00503015894523952,True
top10,2,0.5370937585830688,0.45767754316329956,0.07941621541976929,6.780822303157145,0.0005304403803688324,0.004773963423319491,True
top10,3,0.5400022625923157,0.45767754316329956,0.08232471942901612,7.503694262701843,0.0003323647837134425,0.003323647837134425,True
top10,4,0.5468483090400695,0.45767754316329956,0.08917076587677002,6.4145466518438425,0.0006831581407617016,0.00503015894523952,True
top10,5,0.5422057986259461,0.45767754316329956,0.08452825546264649,6.532800609202481,0.00062876986815494,0.00503015894523952,True
top5,1,0.5244464635848999,0.45767754316329956,0.06676892042160035,4.413779391957424,0.0034660392541219173,0.013864157016487669,True
top5,2,0.5303392559289932,0.45767754316329956,0.07266171276569366,3.5325715177196897,0.008346997260293063,0.01458937415902023,True
top5,3,0.5343732178211212,0.45767754316329956,0.07669567465782165,4.126778057434379,0.004556763634620104,0.013864157016487669,True
top5,4,0.5355910420417785,0.45767754316329956,0.07791349887847901,3.6603629677247667,0.007294687079510115,0.01458937415902023,True
top5,5,0.5301173985004425,0.45767754316329956,0.07243985533714295,5.6853902278839,0.00117304144888593,0.00586520724442965,True
