transform,bacc,bacc_baseline,diff,t_stat,p_value,p_value_adj,reject
brightness,0.8160344004631043,0.7897118091583252,0.026322591304779052,4.1042411133495715,0.004658060337809116,0.07452896540494586,False
center_crop,0.7897118091583252,0.7897118091583252,0.0,,,,
contrast,0.8088439464569092,0.7897118091583252,0.019132137298583984,3.562628810533244,0.008084721365157387,0.12127082047736079,False
elastic_transform,0.7609228610992431,0.7897118091583252,-0.028788948059082033,-0.8272195050410087,0.7771087478698745,1.0,False
equalize,0.7986291408538818,0.7897118091583252,0.00891733169555664,0.479591420667738,0.32588047655568436,1.0,False
gaussian_blur,0.8037365734577179,0.7897118091583252,0.0140247642993927,1.0885621531723497,0.16300549045180343,0.8150274522590172,False
gaussian_noise,0.8230599284172058,0.7897118091583252,0.033348119258880614,1.903828303918715,0.05764776833121334,0.34588660998728005,False
grid_distortion,0.8149459838867188,0.7897118091583252,0.025234174728393555,2.3302884972513747,0.03359356969757054,0.2361271921110695,False
horizontal_flip,0.8099722027778625,0.7897118091583252,0.020260393619537354,3.213550228847019,0.011817479278271129,0.15362723061752467,False
median_blur,0.8033710539340972,0.7897118091583252,0.013659244775772095,2.434782359312782,0.029515899013883688,0.2361271921110695,False
random_crop,0.8218026041984559,0.7897118091583252,0.03209079504013061,2.7828980831880243,0.019384483160785684,0.21322931476864254,False
rotation,0.8443025529384613,0.7897118091583252,0.054590743780136106,8.10805828338275,0.00023141515684826675,0.004165472823268801,True
saturation,0.7910006821155549,0.7897118091583252,0.0012888729572296143,0.18280598192702613,0.4310657404362772,1.0,False
scaling,0.8314245343208313,0.7897118091583252,0.041712725162506105,3.0584861398867074,0.014075270882495066,0.1689032505899408,False
shear_x,0.8146952688694,0.7897118091583252,0.02498345971107483,0.7194347206489751,0.2520428047346105,1.0,False
shear_y,0.83489208817482,0.7897118091583252,0.045180279016494754,3.4094391449117243,0.009527465848329402,0.13338452187661162,False
translate_x,0.82343031167984,0.7897118091583252,0.03371850252151489,2.6626394234358317,0.02237095482814802,0.2237095482814802,False
translate_y,0.8286707282066346,0.7897118091583252,0.03895891904830932,4.905645800932641,0.002226289988294737,0.03784692980101053,True
vertical_flip,0.803134310245514,0.7897118091583252,0.013422501087188721,2.63914470762224,0.023011774245970246,0.2237095482814802,False
