transform,train_fold,split,bacc,bacc_baseline,diff
brightness,0,0,0.8093775510787964,0.7718732953071594,0.03750425577163696
brightness,0,1,0.8003143072128296,0.7598034739494324,0.04051083326339722
brightness,0,2,0.8135523796081543,0.7775148749351501,0.03603750467300415
brightness,0,3,0.7960406541824341,0.7818577289581299,0.0141829252243042
brightness,0,4,0.8279645442962646,0.8177568912506104,0.010207653045654297
brightness,1,0,0.8070286512374878,0.7882920503616333,0.018736600875854492
brightness,1,1,0.8337994813919067,0.8089780807495117,0.02482140064239502
brightness,1,2,0.8212945461273193,0.7833554148674011,0.03793913125991821
brightness,1,3,0.8516113758087158,0.8332014083862305,0.01840996742248535
brightness,1,4,0.7993605136871338,0.7744848728179932,0.024875640869140625
center_crop,0,0,0.7718732953071594,0.7718732953071594,0.0
center_crop,0,1,0.7598034739494324,0.7598034739494324,0.0
center_crop,0,2,0.7775148749351501,0.7775148749351501,0.0
center_crop,0,3,0.7818577289581299,0.7818577289581299,0.0
center_crop,0,4,0.8177568912506104,0.8177568912506104,0.0
center_crop,1,0,0.7882920503616333,0.7882920503616333,0.0
center_crop,1,1,0.8089780807495117,0.8089780807495117,0.0
center_crop,1,2,0.7833554148674011,0.7833554148674011,0.0
center_crop,1,3,0.8332014083862305,0.8332014083862305,0.0
center_crop,1,4,0.7744848728179932,0.7744848728179932,0.0
contrast,0,0,0.8115835189819336,0.7718732953071594,0.03971022367477417
contrast,0,1,0.7860622406005859,0.7598034739494324,0.026258766651153564
contrast,0,2,0.7954871654510498,0.7775148749351501,0.017972290515899658
contrast,0,3,0.7937179803848267,0.7818577289581299,0.011860251426696777
contrast,0,4,0.8355749845504761,0.8177568912506104,0.017818093299865723
contrast,1,0,0.8076496124267578,0.7882920503616333,0.01935756206512451
contrast,1,1,0.816219687461853,0.8089780807495117,0.007241606712341309
contrast,1,2,0.811111330986023,0.7833554148674011,0.027755916118621826
contrast,1,3,0.8286527395248413,0.8332014083862305,-0.00454866886138916
contrast,1,4,0.8023802042007446,0.7744848728179932,0.027895331382751465
elastic_transform,0,0,0.7157761454582214,0.7718732953071594,-0.05609714984893799
elastic_transform,0,1,0.7921445369720459,0.7598034739494324,0.032341063022613525
elastic_transform,0,2,0.7488070130348206,0.7775148749351501,-0.02870786190032959
elastic_transform,0,3,0.8080353140830994,0.7818577289581299,0.026177585124969482
elastic_transform,0,4,0.7165114879608154,0.8177568912506104,-0.10124540328979492
elastic_transform,1,0,0.8003851175308228,0.7882920503616333,0.012093067169189453
elastic_transform,1,1,0.7141998410224915,0.8089780807495117,-0.09477823972702026
elastic_transform,1,2,0.770168125629425,0.7833554148674011,-0.013187289237976074
elastic_transform,1,3,0.7531323432922363,0.8332014083862305,-0.08006906509399414
elastic_transform,1,4,0.7900686860084534,0.7744848728179932,0.015583813190460205
equalize,0,0,0.7835102081298828,0.7718732953071594,0.011636912822723389
equalize,0,1,0.7923046350479126,0.7598034739494324,0.032501161098480225
equalize,0,2,0.8212932348251343,0.7775148749351501,0.04377835988998413
equalize,0,3,0.8048567771911621,0.7818577289581299,0.022999048233032227
equalize,0,4,0.8106999397277832,0.8177568912506104,-0.0070569515228271484
equalize,1,0,0.7783646583557129,0.7882920503616333,-0.00992739200592041
equalize,1,1,0.7985304594039917,0.8089780807495117,-0.01044762134552002
equalize,1,2,0.7868566513061523,0.7833554148674011,0.0035012364387512207
equalize,1,3,0.8188189268112183,0.8332014083862305,-0.014382481575012207
equalize,1,4,0.7910559177398682,0.7744848728179932,0.016571044921875
gaussian_blur,0,0,0.7919586896896362,0.7718732953071594,0.020085394382476807
gaussian_blur,0,1,0.7936488389968872,0.7598034739494324,0.033845365047454834
gaussian_blur,0,2,0.7804443836212158,0.7775148749351501,0.002929508686065674
gaussian_blur,0,3,0.8163731098175049,0.7818577289581299,0.034515380859375
gaussian_blur,0,4,0.8098005056381226,0.8177568912506104,-0.007956385612487793
gaussian_blur,1,0,0.811040461063385,0.7882920503616333,0.02274841070175171
gaussian_blur,1,1,0.8105299472808838,0.8089780807495117,0.0015518665313720703
gaussian_blur,1,2,0.788408637046814,0.7833554148674011,0.005053222179412842
gaussian_blur,1,3,0.8338992595672607,0.8332014083862305,0.0006978511810302734
gaussian_blur,1,4,0.8012619018554688,0.7744848728179932,0.026777029037475586
gaussian_noise,0,0,0.8124216794967651,0.7718732953071594,0.04054838418960571
gaussian_noise,0,1,0.8138508796691895,0.7598034739494324,0.05404740571975708
gaussian_noise,0,2,0.8211864233016968,0.7775148749351501,0.04367154836654663
gaussian_noise,0,3,0.8178951740264893,0.7818577289581299,0.036037445068359375
gaussian_noise,0,4,0.8438000679016113,0.8177568912506104,0.026043176651000977
gaussian_noise,1,0,0.8433835506439209,0.7882920503616333,0.0550915002822876
gaussian_noise,1,1,0.8036606311798096,0.8089780807495117,-0.0053174495697021484
gaussian_noise,1,2,0.8077660799026489,0.7833554148674011,0.024410665035247803
gaussian_noise,1,3,0.8531019687652588,0.8332014083862305,0.01990056037902832
gaussian_noise,1,4,0.813532829284668,0.7744848728179932,0.039047956466674805
grid_distortion,0,0,0.8166340589523315,0.7718732953071594,0.04476076364517212
grid_distortion,0,1,0.7998912334442139,0.7598034739494324,0.040087759494781494
grid_distortion,0,2,0.8070726990699768,0.7775148749351501,0.02955782413482666
grid_distortion,0,3,0.8200321197509766,0.7818577289581299,0.03817439079284668
grid_distortion,0,4,0.8186028003692627,0.8177568912506104,0.0008459091186523438
grid_distortion,1,0,0.8379435539245605,0.7882920503616333,0.049651503562927246
grid_distortion,1,1,0.815078616142273,0.8089780807495117,0.0061005353927612305
grid_distortion,1,2,0.7879197001457214,0.7833554148674011,0.0045642852783203125
grid_distortion,1,3,0.8404587507247925,0.8332014083862305,0.007257342338562012
grid_distortion,1,4,0.8058263063430786,0.7744848728179932,0.03134143352508545
horizontal_flip,0,0,0.8130364418029785,0.7718732953071594,0.04116314649581909
horizontal_flip,0,1,0.7938722372055054,0.7598034739494324,0.034068763256073
horizontal_flip,0,2,0.8034512996673584,0.7775148749351501,0.025936424732208252
horizontal_flip,0,3,0.7876771688461304,0.7818577289581299,0.005819439888000488
horizontal_flip,0,4,0.8360592126846313,0.8177568912506104,0.018302321434020996
horizontal_flip,1,0,0.7978543043136597,0.7882920503616333,0.009562253952026367
horizontal_flip,1,1,0.820690393447876,0.8089780807495117,0.011712312698364258
horizontal_flip,1,2,0.8028066158294678,0.7833554148674011,0.01945120096206665
horizontal_flip,1,3,0.8418941497802734,0.8332014083862305,0.008692741394042969
horizontal_flip,1,4,0.8023802042007446,0.7744848728179932,0.027895331382751465
median_blur,0,0,0.8013204336166382,0.7718732953071594,0.02944713830947876
median_blur,0,1,0.7800431251525879,0.7598034739494324,0.020239651203155518
median_blur,0,2,0.8049042224884033,0.7775148749351501,0.027389347553253174
median_blur,0,3,0.7917966842651367,0.7818577289581299,0.009938955307006836
median_blur,0,4,0.8338295221328735,0.8177568912506104,0.016072630882263184
median_blur,1,0,0.8059260249137878,0.7882920503616333,0.01763397455215454
median_blur,1,1,0.8317888975143433,0.8089780807495117,0.022810816764831543
median_blur,1,2,0.7832232713699341,0.7833554148674011,-0.00013214349746704102
median_blur,1,3,0.823522686958313,0.8332014083862305,-0.00967872142791748
median_blur,1,4,0.7773556709289551,0.7744848728179932,0.002870798110961914
random_crop,0,0,0.8274565935134888,0.7718732953071594,0.055583298206329346
