augmentations,ops,bacc,baseline_bacc,diff
geometric,1,0.8513138175010682,0.7897118091583252,0.06160200834274292
geometric,2,0.8593668937683105,0.7897118091583252,0.06965508460998535
geometric,3,0.857359516620636,0.7897118091583252,0.06764770746231079
geometric,4,0.8464901745319366,0.7897118091583252,0.05677836537361145
geometric,5,0.8339296102523803,0.7897118091583252,0.044217801094055174
photometric,1,0.8273425161838531,0.7897118091583252,0.037630707025527954
photometric,2,0.8290944635868073,0.7897118091583252,0.03938265442848206
photometric,3,0.8295953035354614,0.7897118091583252,0.03988349437713623
photometric,4,0.8225108861923218,0.7897118091583252,0.03279907703399658
photometric,5,0.8200307250022888,0.7897118091583252,0.030318915843963623
