augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
geometric,1,2,0,0.8533792495727539,0.7775148749351501,0.07586437463760376
geometric,1,2,1,0.8388516902923584,0.7833554148674011,0.055496275424957275
geometric,1,3,0,0.8365751504898071,0.7818577289581299,0.054717421531677246
geometric,1,3,1,0.896365761756897,0.8332014083862305,0.0631643533706665
geometric,1,4,0,0.8559765815734863,0.8177568912506104,0.03821969032287598
geometric,1,4,1,0.8236932754516602,0.7744848728179932,0.04920840263366699
geometric,2,0,0,0.8778074979782104,0.7718732953071594,0.10593420267105103
geometric,2,0,1,0.8542815446853638,0.7882920503616333,0.06598949432373047
geometric,2,1,0,0.8386566638946533,0.7598034739494324,0.07885318994522095
geometric,2,1,1,0.8688740730285645,0.8089780807495117,0.059895992279052734
geometric,2,2,0,0.84596848487854,0.7775148749351501,0.06845360994338989
geometric,2,2,1,0.8424526453018188,0.7833554148674011,0.059097230434417725
geometric,2,3,0,0.8479748964309692,0.7818577289581299,0.06611716747283936
geometric,2,3,1,0.8972352743148804,0.8332014083862305,0.0640338659286499
geometric,2,4,0,0.8800371885299683,0.8177568912506104,0.06228029727935791
geometric,2,4,1,0.8403806686401367,0.7744848728179932,0.06589579582214355
geometric,3,0,0,0.8790686130523682,0.7718732953071594,0.10719531774520874
geometric,3,0,1,0.8551510572433472,0.7882920503616333,0.06685900688171387
geometric,3,1,0,0.8404021263122559,0.7598034739494324,0.08059865236282349
geometric,3,1,1,0.8605693578720093,0.8089780807495117,0.05159127712249756
geometric,3,2,0,0.8403644561767578,0.7775148749351501,0.06284958124160767
geometric,3,2,1,0.8538550138473511,0.7833554148674011,0.07049959897994995
geometric,3,3,0,0.8593746423721313,0.7818577289581299,0.07751691341400146
geometric,3,3,1,0.8949916362762451,0.8332014083862305,0.06179022789001465
geometric,3,4,0,0.8604123592376709,0.8177568912506104,0.04265546798706055
geometric,3,4,1,0.8294059038162231,0.7744848728179932,0.05492103099822998
geometric,4,0,0,0.8593746423721313,0.7718732953071594,0.08750134706497192
geometric,4,0,1,0.8472727537155151,0.7882920503616333,0.058980703353881836
geometric,4,1,0,0.8392714262008667,0.7598034739494324,0.07946795225143433
geometric,4,1,1,0.852458119392395,0.8089780807495117,0.0434800386428833
geometric,4,2,0,0.8188637495040894,0.7775148749351501,0.04134887456893921
geometric,4,2,1,0.8401092290878296,0.7833554148674011,0.05675381422042847
geometric,4,3,0,0.8433710932731628,0.7818577289581299,0.06151336431503296
geometric,4,3,1,0.8882160186767578,0.8332014083862305,0.055014610290527344
geometric,4,4,0,0.8571685552597046,0.8177568912506104,0.03941166400909424
geometric,4,4,1,0.8187961578369141,0.7744848728179932,0.0443112850189209
geometric,5,0,0,0.8346676826477051,0.7718732953071594,0.06279438734054565
geometric,5,0,1,0.8351184129714966,0.7882920503616333,0.04682636260986328
geometric,5,1,0,0.8452291488647461,0.7598034739494324,0.08542567491531372
geometric,5,1,1,0.8390461206436157,0.8089780807495117,0.030068039894104004
geometric,5,2,0,0.8063334226608276,0.7775148749351501,0.02881854772567749
geometric,5,2,1,0.8275668621063232,0.7833554148674011,0.04421144723892212
geometric,5,3,0,0.8298168182373047,0.7818577289581299,0.047959089279174805
geometric,5,3,1,0.8719165325164795,0.8332014083862305,0.03871512413024902
geometric,5,4,0,0.8521180152893066,0.8177568912506104,0.03436112403869629
geometric,5,4,1,0.7974830865859985,0.7744848728179932,0.02299821376800537
photometric,1,0,0,0.8348672389984131,0.7718732953071594,0.06299394369125366
photometric,1,0,1,0.8245856761932373,0.7882920503616333,0.036293625831604004
photometric,1,1,0,0.8149875402450562,0.7598034739494324,0.05518406629562378
photometric,1,1,1,0.859661340713501,0.8089780807495117,0.05068325996398926
photometric,1,2,0,0.8239142894744873,0.7775148749351501,0.04639941453933716
photometric,1,2,1,0.8014325499534607,0.7833554148674011,0.01807713508605957
photometric,1,3,0,0.8278341293334961,0.7818577289581299,0.04597640037536621
photometric,1,3,1,0.8396275043487549,0.8332014083862305,0.006426095962524414
photometric,1,4,0,0.8396568298339844,0.8177568912506104,0.021899938583374023
photometric,1,4,1,0.8068580627441406,0.7744848728179932,0.03237318992614746
photometric,2,0,0,0.8318231105804443,0.7718732953071594,0.05994981527328491
photometric,2,0,1,0.8397283554077148,0.7882920503616333,0.05143630504608154
photometric,2,1,0,0.8130502700805664,0.7598034739494324,0.05324679613113403
photometric,2,1,1,0.8470181226730347,0.8089780807495117,0.03804004192352295
photometric,2,2,0,0.8300954699516296,0.7775148749351501,0.05258059501647949
photometric,2,2,1,0.8125467300415039,0.7833554148674011,0.029191315174102783
photometric,2,3,0,0.8159264326095581,0.7818577289581299,0.03406870365142822
photometric,2,3,1,0.8460932970046997,0.8332014083862305,0.012891888618469238
photometric,2,4,0,0.8446145057678223,0.8177568912506104,0.026857614517211914
photometric,2,4,1,0.8100483417510986,0.7744848728179932,0.03556346893310547
photometric,3,0,0,0.8320465087890625,0.7718732953071594,0.060173213481903076
photometric,3,0,1,0.851223349571228,0.7882920503616333,0.06293129920959473
photometric,3,1,0,0.8109509944915771,0.7598034739494324,0.051147520542144775
photometric,3,1,1,0.8492846488952637,0.8089780807495117,0.04030656814575195
photometric,3,2,0,0.8223922252655029,0.7775148749351501,0.04487735033035278
photometric,3,2,1,0.8346524238586426,0.7833554148674011,0.051297008991241455
photometric,3,3,0,0.8108758926391602,0.7818577289581299,0.029018163681030273
photometric,3,3,1,0.8315173387527466,0.8332014083862305,-0.0016840696334838867
photometric,3,4,0,0.8511495590209961,0.8177568912506104,0.03339266777038574
photometric,3,4,1,0.8018600940704346,0.7744848728179932,0.027375221252441406
photometric,4,0,0,0.8353515863418579,0.7718732953071594,0.06347829103469849
photometric,4,0,1,0.8440440893173218,0.7882920503616333,0.05575203895568848
photometric,4,1,0,0.8033643960952759,0.7598034739494324,0.043560922145843506
photometric,4,1,1,0.8415385484695435,0.8089780807495117,0.03256046772003174
photometric,4,2,0,0.8106070756912231,0.7775148749351501,0.033092200756073
photometric,4,2,1,0.8142318725585938,0.7833554148674011,0.030876457691192627
photometric,4,3,0,0.8130127191543579,0.7818577289581299,0.031154990196228027
photometric,4,3,1,0.8306478261947632,0.8332014083862305,-0.002553582191467285
photometric,4,4,0,0.8412164449691772,0.8177568912506104,0.023459553718566895
photometric,4,4,1,0.7910943031311035,0.7744848728179932,0.01660943031311035
photometric,5,0,0,0.8287789821624756,0.7718732953071594,0.05690568685531616
photometric,5,0,1,0.828365683555603,0.7882920503616333,0.04007363319396973
photometric,5,1,0,0.7859455347061157,0.7598034739494324,0.02614206075668335
photometric,5,1,1,0.8347856998443604,0.8089780807495117,0.025807619094848633
photometric,5,2,0,0.825958251953125,0.7775148749351501,0.048443377017974854
photometric,5,2,1,0.8314008712768555,0.7833554148674011,0.048045456409454346
photometric,5,3,0,0.78737473487854,0.7818577289581299,0.005517005920410156
photometric,5,3,1,0.8398220539093018,0.8332014083862305,0.006620645523071289
photometric,5,4,0,0.8428690433502197,0.8177568912506104,0.025112152099609375
photometric,5,4,1,0.7950063943862915,0.7744848728179932,0.02052152156829834
top10,1,0,0,0.8569214344024658,0.7718732953071594,0.0850481390953064
top10,1,0,1,0.84256911277771,0.7882920503616333,0.05427706241607666
top10,1,1,0,0.839824914932251,0.7598034739494324,0.0800214409828186
top10,1,1,1,0.8525360822677612,0.8089780807495117,0.04355800151824951
top10,1,2,0,0.8535096645355225,0.7775148749351501,0.07599478960037231
top10,1,2,1,0.8313997983932495,0.7833554148674011,0.04804438352584839
top10,1,3,0,0.8538397550582886,0.7818577289581299,0.07198202610015869
top10,1,3,1,0.8685089349746704,0.8332014083862305,0.03530752658843994
top10,1,4,0,0.8534168004989624,0.8177568912506104,0.03565990924835205
top10,1,4,1,0.8308184146881104,0.7744848728179932,0.05633354187011719
top10,2,0,0,0.8727569580078125,0.7718732953071594,0.10088366270065308
top10,2,0,1,0.8525193929672241,0.7882920503616333,0.06422734260559082
top10,2,1,0,0.839917778968811,0.7598034739494324,0.08011430501937866
top10,2,1,1,0.8638832569122314,0.8089780807495117,0.05490517616271973
top10,2,2,0,0.8584296703338623,0.7775148749351501,0.08091479539871216
top10,2,2,1,0.8259981870651245,0.7833554148674011,0.04264277219772339
top10,2,3,0,0.8487200736999512,0.7818577289581299,0.06686234474182129
top10,2,3,1,0.8754010200500488,0.8332014083862305,0.04219961166381836
top10,2,4,0,0.8511495590209961,0.8177568912506104,0.03339266777038574
top10,2,4,1,0.8277603387832642,0.7744848728179932,0.053275465965270996
top10,3,0,0,0.8811125755310059,0.7718732953071594,0.10923928022384644
top10,3,0,1,0.8482589721679688,0.7882920503616333,0.05996692180633545
top10,3,1,0,0.8464903831481934,0.7598034739494324,0.08668690919876099
top10,3,1,1,0.8590788841247559,0.8089780807495117,0.05010080337524414
top10,3,2,0,0.8495582342147827,0.7775148749351501,0.07204335927963257
top10,3,2,1,0.8384636640548706,0.7833554148674011,0.05510824918746948
top10,3,3,0,0.8391033411026001,0.7818577289581299,0.057245612144470215
top10,3,3,1,0.8802212476730347,0.8332014083862305,0.0470198392868042
top10,3,4,0,0.8443535566329956,0.8177568912506104,0.026596665382385254
top10,3,4,1,0.8375555276870728,0.7744848728179932,0.06307065486907959
top10,4,0,0,0.8781613111495972,0.7718732953071594,0.10628801584243774
top10,4,0,1,0.8676164150238037,0.7882920503616333,0.07932436466217041
top10,4,1,0,0.843353271484375,0.7598034739494324,0.08354979753494263
top10,4,1,1,0.8553612232208252,0.8089780807495117,0.04638314247131348
top10,4,2,0,0.8481665849685669,0.7775148749351501,0.07065171003341675
top10,4,2,1,0.8317493200302124,0.7833554148674011,0.04839390516281128
top10,4,3,0,0.8412480354309082,0.7818577289581299,0.05939030647277832
top10,4,3,1,0.880104660987854,0.8332014083862305,0.046903252601623535
top10,4,4,0,0.8404712677001953,0.8177568912506104,0.02271437644958496
top10,4,4,1,0.824042797088623,0.7744848728179932,0.04955792427062988
top10,5,0,0,0.8646247386932373,0.7718732953071594,0.09275144338607788
top10,5,0,1,0.8638437986373901,0.7882920503616333,0.07555174827575684
top10,5,1,0,0.8409239053726196,0.7598034739494324,0.08112043142318726
top10,5,1,1,0.8439204692840576,0.8089780807495117,0.0349423885345459
top10,5,2,0,0.8316235542297363,0.7775148749351501,0.05410867929458618
top10,5,2,1,0.8302202224731445,0.7833554148674011,0.04686480760574341
