operation1,operation2,bacc,bacc_no_aug,transform,bacc_operation1,diff_no_aug,diff_operation1
contrast,brightness,0.81836217045784,0.7897118091583252,contrast,0.8088439464569092,0.028650361299514815,0.00951822400093083
contrast,elastic_transform,0.8112810611724853,0.7897118091583252,contrast,0.8088439464569092,0.021569252014160156,0.002437114715576172
contrast,equalize,0.8035944819450378,0.7897118091583252,contrast,0.8088439464569092,0.013882672786712624,-0.00524946451187136
contrast,gaussian_blur,0.8137250304222107,0.7897118091583252,contrast,0.8088439464569092,0.024013221263885498,0.004881083965301514
contrast,gaussian_noise,0.8302883803844452,0.7897118091583252,contrast,0.8088439464569092,0.04057657122612002,0.021444433927536033
contrast,grid_distortion,0.8283013463020324,0.7897118091583252,contrast,0.8088439464569092,0.038589537143707275,0.01945739984512329
contrast,horizontal_flip,0.8242928564548493,0.7897118091583252,contrast,0.8088439464569092,0.034581047296524114,0.01544890999794013
contrast,median_blur,0.8074787139892579,0.7897118091583252,contrast,0.8088439464569092,0.017766904830932684,-0.0013652324676513006
contrast,random_crop,0.8244087219238281,0.7897118091583252,contrast,0.8088439464569092,0.03469691276550291,0.015564775466918923
contrast,rotation,0.8454380989074707,0.7897118091583252,contrast,0.8088439464569092,0.05572628974914551,0.03659415245056152
contrast,saturation,0.8067137211561203,0.7897118091583252,contrast,0.8088439464569092,0.017001911997795105,-0.0021302253007888794
contrast,scaling,0.8417178750038147,0.7897118091583252,contrast,0.8088439464569092,0.0520060658454895,0.03287392854690552
contrast,shear_x,0.8122342884540558,0.7897118091583252,contrast,0.8088439464569092,0.02252247929573059,0.0033903419971466064
contrast,shear_y,0.8363222002983093,0.7897118091583252,contrast,0.8088439464569092,0.04661039113998411,0.027478253841400124
contrast,translate_x,0.826241397857666,0.7897118091583252,contrast,0.8088439464569092,0.036529588699340865,0.01739745140075688
contrast,translate_y,0.8279652833938599,0.7897118091583252,contrast,0.8088439464569092,0.03825347423553471,0.019121336936950728
contrast,vertical_flip,0.8130497395992279,0.7897118091583252,contrast,0.8088439464569092,0.02333793044090271,0.004205793142318726
elastic_transform,brightness,0.8049465417861938,0.7897118091583252,elastic_transform,0.7609228610992431,0.015234732627868675,0.04402368068695073
elastic_transform,contrast,0.8083974719047546,0.7897118091583252,elastic_transform,0.7609228610992431,0.018685662746429466,0.04747461080551152
elastic_transform,equalize,0.8081429779529572,0.7897118091583252,elastic_transform,0.7609228610992431,0.018431168794632025,0.04722011685371408
elastic_transform,gaussian_blur,0.7724677443504333,0.7897118091583252,elastic_transform,0.7609228610992431,-0.017244064807891868,0.011544883251190186
elastic_transform,gaussian_noise,0.796043199300766,0.7897118091583252,elastic_transform,0.7609228610992431,0.006331390142440774,0.03512033820152283
elastic_transform,grid_distortion,0.7396386384963989,0.7897118091583252,elastic_transform,0.7609228610992431,-0.05007317066192629,-0.02128422260284424
elastic_transform,horizontal_flip,0.769454973936081,0.7897118091583252,elastic_transform,0.7609228610992431,-0.020256835222244196,0.008532112836837857
elastic_transform,median_blur,0.7874650299549103,0.7897118091583252,elastic_transform,0.7609228610992431,-0.0022467792034148726,0.02654216885566718
elastic_transform,random_crop,0.8141805946826934,0.7897118091583252,elastic_transform,0.7609228610992431,0.024468785524368264,0.05325773358345032
elastic_transform,rotation,0.8064487338066101,0.7897118091583252,elastic_transform,0.7609228610992431,0.016736924648284912,0.045525872707366966
elastic_transform,saturation,0.7646674335002899,0.7897118091583252,elastic_transform,0.7609228610992431,-0.0250443756580353,0.003744572401046753
elastic_transform,scaling,0.8227880001068115,0.7897118091583252,elastic_transform,0.7609228610992431,0.03307619094848635,0.061865139007568404
elastic_transform,shear_x,0.7883560717105865,0.7897118091583252,elastic_transform,0.7609228610992431,-0.0013557374477386475,0.027433210611343406
elastic_transform,shear_y,0.7900183856487274,0.7897118091583252,elastic_transform,0.7609228610992431,0.0003065764904022217,0.029095524549484275
elastic_transform,translate_x,0.8122723639011383,0.7897118091583252,elastic_transform,0.7609228610992431,0.022560554742813155,0.05134950280189521
elastic_transform,translate_y,0.8284830868244171,0.7897118091583252,elastic_transform,0.7609228610992431,0.0387712776660919,0.06756022572517395
elastic_transform,vertical_flip,0.7967943608760834,0.7897118091583252,elastic_transform,0.7609228610992431,0.007082551717758179,0.03587149977684023
equalize,brightness,0.8092919707298278,0.7897118091583252,equalize,0.7986291408538818,0.019580161571502663,0.010662829875946023
equalize,contrast,0.7982812523841858,0.7897118091583252,equalize,0.7986291408538818,0.008569443225860618,-0.0003478884696960227
equalize,elastic_transform,0.8126511931419372,0.7897118091583252,equalize,0.7986291408538818,0.02293938398361206,0.01402205228805542
equalize,gaussian_blur,0.7978310406208038,0.7897118091583252,equalize,0.7986291408538818,0.008119231462478615,-0.0007981002330780251
equalize,gaussian_noise,0.8279135584831238,0.7897118091583252,equalize,0.7986291408538818,0.038201749324798584,0.029284417629241943
equalize,grid_distortion,0.8162207484245301,0.7897118091583252,equalize,0.7986291408538818,0.0265089392662049,0.01759160757064826
equalize,horizontal_flip,0.8072531223297119,0.7897118091583252,equalize,0.7986291408538818,0.01754131317138674,0.0086239814758301
equalize,median_blur,0.8061577081680298,0.7897118091583252,equalize,0.7986291408538818,0.016445899009704612,0.007528567314147971
equalize,random_crop,0.8143928408622741,0.7897118091583252,equalize,0.7986291408538818,0.024681031703948975,0.015763700008392334
equalize,rotation,0.8394839882850647,0.7897118091583252,equalize,0.7986291408538818,0.04977217912673948,0.04085484743118284
equalize,saturation,0.799674117565155,0.7897118091583252,equalize,0.7986291408538818,0.009962308406829878,0.0010449767112732378
equalize,scaling,0.834443211555481,0.7897118091583252,equalize,0.7986291408538818,0.044731402397155784,0.03581407070159914
equalize,shear_x,0.8080341458320618,0.7897118091583252,equalize,0.7986291408538818,0.018322336673736617,0.009405004978179976
equalize,shear_y,0.8279478788375855,0.7897118091583252,equalize,0.7986291408538818,0.0382360696792603,0.029318737983703658
equalize,translate_x,0.8216493308544159,0.7897118091583252,equalize,0.7986291408538818,0.031937521696090765,0.023020190000534124
equalize,translate_y,0.815965473651886,0.7897118091583252,equalize,0.7986291408538818,0.026253664493560813,0.017336332798004173
equalize,vertical_flip,0.805381464958191,0.7897118091583252,equalize,0.7986291408538818,0.01566965579986579,0.006752324104309149
gaussian_blur,brightness,0.8134785890579224,0.7897118091583252,gaussian_blur,0.8037365734577179,0.02376677989959719,0.00974201560020449
gaussian_blur,contrast,0.8137312889099121,0.7897118091583252,gaussian_blur,0.8037365734577179,0.024019479751586914,0.009994715452194214
gaussian_blur,elastic_transform,0.7544109523296356,0.7897118091583252,gaussian_blur,0.8037365734577179,-0.03530085682868955,-0.04932562112808225
gaussian_blur,equalize,0.7970447778701782,0.7897118091583252,gaussian_blur,0.8037365734577179,0.007332968711853072,-0.0066917955875396284
gaussian_blur,gaussian_noise,0.8289724588394165,0.7897118091583252,gaussian_blur,0.8037365734577179,0.03926064968109133,0.02523588538169863
gaussian_blur,grid_distortion,0.8136332869529724,0.7897118091583252,gaussian_blur,0.8037365734577179,0.02392147779464726,0.009896713495254561
gaussian_blur,horizontal_flip,0.824296748638153,0.7897118091583252,gaussian_blur,0.8037365734577179,0.03458493947982788,0.02056017518043518
gaussian_blur,median_blur,0.8110715270042419,0.7897118091583252,gaussian_blur,0.8037365734577179,0.021359717845916726,0.007334953546524026
gaussian_blur,random_crop,0.8245869755744935,0.7897118091583252,gaussian_blur,0.8037365734577179,0.03487516641616828,0.02085040211677558
gaussian_blur,rotation,0.8370075464248657,0.7897118091583252,gaussian_blur,0.8037365734577179,0.04729573726654057,0.03327097296714787
gaussian_blur,saturation,0.8044459342956543,0.7897118091583252,gaussian_blur,0.8037365734577179,0.01473412513732908,0.0007093608379363792
gaussian_blur,scaling,0.8273913025856018,0.7897118091583252,gaussian_blur,0.8037365734577179,0.03767949342727661,0.02365472912788391
gaussian_blur,shear_x,0.8108718693256378,0.7897118091583252,gaussian_blur,0.8037365734577179,0.021160060167312644,0.007135295867919944
gaussian_blur,shear_y,0.8350502103567123,0.7897118091583252,gaussian_blur,0.8037365734577179,0.04533840119838717,0.03131363689899447
gaussian_blur,translate_x,0.8255092024803161,0.7897118091583252,gaussian_blur,0.8037365734577179,0.035797393321990945,0.021772629022598244
gaussian_blur,translate_y,0.8274438709020615,0.7897118091583252,gaussian_blur,0.8037365734577179,0.037732061743736334,0.023707297444343634
gaussian_blur,vertical_flip,0.8214868903160095,0.7897118091583252,gaussian_blur,0.8037365734577179,0.03177508115768435,0.017750316858291648
gaussian_noise,brightness,0.8337728083133698,0.7897118091583252,gaussian_noise,0.8230599284172058,0.04406099915504458,0.010712879896163985
gaussian_noise,contrast,0.8288164854049682,0.7897118091583252,gaussian_noise,0.8230599284172058,0.039104676246643044,0.005756556987762451
gaussian_noise,elastic_transform,0.788200181722641,0.7897118091583252,gaussian_noise,0.8230599284172058,-0.0015116274356842263,-0.03485974669456482
gaussian_noise,equalize,0.8282232999801635,0.7897118091583252,gaussian_noise,0.8230599284172058,0.03851149082183836,0.005163371562957764
gaussian_noise,gaussian_blur,0.8335090160369873,0.7897118091583252,gaussian_noise,0.8230599284172058,0.043797206878662176,0.010449087619781583
gaussian_noise,grid_distortion,0.8280400276184082,0.7897118091583252,gaussian_noise,0.8230599284172058,0.03832821846008305,0.004980099201202459
gaussian_noise,horizontal_flip,0.8293644070625306,0.7897118091583252,gaussian_noise,0.8230599284172058,0.03965259790420539,0.006304478645324796
gaussian_noise,median_blur,0.8332041800022125,0.7897118091583252,gaussian_noise,0.8230599284172058,0.04349237084388735,0.010144251585006758
gaussian_noise,random_crop,0.8372436761856079,0.7897118091583252,gaussian_noise,0.8230599284172058,0.04753186702728274,0.014183747768402144
gaussian_noise,rotation,0.8527979373931884,0.7897118091583252,gaussian_noise,0.8230599284172058,0.06308612823486326,0.029738008975982666
gaussian_noise,saturation,0.8244155406951904,0.7897118091583252,gaussian_noise,0.8230599284172058,0.034703731536865234,0.0013556122779846413
gaussian_noise,scaling,0.8473592162132263,0.7897118091583252,gaussian_noise,0.8230599284172058,0.05764740705490112,0.02429928779602053
gaussian_noise,shear_x,0.824328488111496,0.7897118091583252,gaussian_noise,0.8230599284172058,0.034616678953170776,0.0012685596942901833
gaussian_noise,shear_y,0.8399108648300171,0.7897118091583252,gaussian_noise,0.8230599284172058,0.05019905567169192,0.016850936412811324
gaussian_noise,translate_x,0.842591381072998,0.7897118091583252,gaussian_noise,0.8230599284172058,0.05287957191467285,0.01953145265579226
gaussian_noise,translate_y,0.8388270437717438,0.7897118091583252,gaussian_noise,0.8230599284172058,0.0491152346134186,0.01576711535453801
gaussian_noise,vertical_flip,0.8315202832221985,0.7897118091583252,gaussian_noise,0.8230599284172058,0.041808474063873335,0.008460354804992742
grid_distortion,brightness,0.8296247065067291,0.7897118091583252,grid_distortion,0.8149459838867188,0.039912897348403975,0.014678722620010354
grid_distortion,contrast,0.8275561451911926,0.7897118091583252,grid_distortion,0.8149459838867188,0.03784433603286741,0.012610161304473788
grid_distortion,elastic_transform,0.7281782746315002,0.7897118091583252,grid_distortion,0.8149459838867188,-0.06153353452682497,-0.0867677092552186
grid_distortion,equalize,0.8160440921783447,0.7897118091583252,grid_distortion,0.8149459838867188,0.026332283020019553,0.0010981082916259322
grid_distortion,gaussian_blur,0.8101960003376008,0.7897118091583252,grid_distortion,0.8149459838867188,0.02048419117927558,-0.004749983549118042
grid_distortion,gaussian_noise,0.8220053553581238,0.7897118091583252,grid_distortion,0.8149459838867188,0.03229354619979863,0.007059371471405007
grid_distortion,horizontal_flip,0.82745201587677,0.7897118091583252,grid_distortion,0.8149459838867188,0.0377402067184448,0.01250603199005118
grid_distortion,median_blur,0.8242544710636139,0.7897118091583252,grid_distortion,0.8149459838867188,0.03454266190528876,0.009308487176895142
grid_distortion,random_crop,0.8303948432207108,0.7897118091583252,grid_distortion,0.8149459838867188,0.040683034062385603,0.015448859333991982
grid_distortion,rotation,0.8398026406764985,0.7897118091583252,grid_distortion,0.8149459838867188,0.050090831518173284,0.024856656789779663
grid_distortion,saturation,0.8173679530620575,0.7897118091583252,grid_distortion,0.8149459838867188,0.027656143903732278,0.0024219691753386563
grid_distortion,scaling,0.8326078236103058,0.7897118091583252,grid_distortion,0.8149459838867188,0.04289601445198066,0.017661839723587036
grid_distortion,shear_x,0.815244710445404,0.7897118091583252,grid_distortion,0.8149459838867188,0.025532901287078857,0.0002987265586852361
grid_distortion,shear_y,0.8325261771678925,0.7897118091583252,grid_distortion,0.8149459838867188,0.04281436800956728,0.01758019328117366
grid_distortion,translate_x,0.831136953830719,0.7897118091583252,grid_distortion,0.8149459838867188,0.04142514467239378,0.016190969944000155
grid_distortion,translate_y,0.8284350514411927,0.7897118091583252,grid_distortion,0.8149459838867188,0.0387232422828675,0.013489067554473877
grid_distortion,vertical_flip,0.8311399340629577,0.7897118091583252,grid_distortion,0.8149459838867188,0.041428124904632546,0.016193950176238925
horizontal_flip,brightness,0.82615966796875,0.7897118091583252,horizontal_flip,0.8099722027778625,0.03644785881042478,0.01618746519088743
horizontal_flip,contrast,0.8244689226150512,0.7897118091583252,horizontal_flip,0.8099722027778625,0.03475711345672605,0.014496719837188698
horizontal_flip,elastic_transform,0.7704894423484803,0.7897118091583252,horizontal_flip,0.8099722027778625,-0.019222366809844904,-0.03948276042938226
horizontal_flip,equalize,0.8060563325881958,0.7897118091583252,horizontal_flip,0.8099722027778625,0.016344523429870583,-0.00391587018966677
horizontal_flip,gaussian_blur,0.825162386894226,0.7897118091583252,horizontal_flip,0.8099722027778625,0.03545057773590088,0.015190184116363525
horizontal_flip,gaussian_noise,0.8296760797500611,0.7897118091583252,horizontal_flip,0.8099722027778625,0.039964270591735906,0.019703876972198553
horizontal_flip,grid_distortion,0.8281870365142823,0.7897118091583252,horizontal_flip,0.8099722027778625,0.0384752273559571,0.018214833736419744
horizontal_flip,median_blur,0.8165590643882752,0.7897118091583252,horizontal_flip,0.8099722027778625,0.026847255229950018,0.006586861610412664
horizontal_flip,random_crop,0.8284822940826416,0.7897118091583252,horizontal_flip,0.8099722027778625,0.03877048492431645,0.018510091304779097
horizontal_flip,rotation,0.8428647518157959,0.7897118091583252,horizontal_flip,0.8099722027778625,0.053152942657470725,0.03289254903793337
horizontal_flip,saturation,0.812077260017395,0.7897118091583252,horizontal_flip,0.8099722027778625,0.022365450859069824,0.0021050572395324707
horizontal_flip,scaling,0.8466698408126831,0.7897118091583252,horizontal_flip,0.8099722027778625,0.05695803165435798,0.03669763803482062
horizontal_flip,shear_x,0.828204208612442,0.7897118091583252,horizontal_flip,0.8099722027778625,0.038492399454116866,0.018232005834579512
horizontal_flip,shear_y,0.8409624338150025,0.7897118091583252,horizontal_flip,0.8099722027778625,0.05125062465667729,0.030990231037139937
horizontal_flip,translate_x,0.8328105926513671,0.7897118091583252,horizontal_flip,0.8099722027778625,0.04309878349304197,0.022838389873504616
horizontal_flip,translate_y,0.8369911909103394,0.7897118091583252,horizontal_flip,0.8099722027778625,0.04727938175201418,0.02701898813247683
horizontal_flip,vertical_flip,0.8206018269062042,0.7897118091583252,horizontal_flip,0.8099722027778625,0.03089001774787903,0.010629624128341675
median_blur,brightness,0.817933177947998,0.7897118091583252,median_blur,0.8033710539340972,0.02822136878967285,0.014562124013900779
median_blur,contrast,0.8065386056900025,0.7897118091583252,median_blur,0.8033710539340972,0.01682679653167729,0.003167551755905218
median_blur,elastic_transform,0.7987677752971649,0.7897118091583252,median_blur,0.8033710539340972,0.009055966138839744,-0.004603278636932329
median_blur,equalize,0.8067389369010926,0.7897118091583252,median_blur,0.8033710539340972,0.01702712774276738,0.003367882966995306
median_blur,gaussian_blur,0.8099510610103607,0.7897118091583252,median_blur,0.8033710539340972,0.020239251852035567,0.006580007076263494
median_blur,gaussian_noise,0.8320275902748108,0.7897118091583252,median_blur,0.8033710539340972,0.042315781116485596,0.028656536340713523
median_blur,grid_distortion,0.8227512538433075,0.7897118091583252,median_blur,0.8033710539340972,0.03303944468498232,0.01938019990921025
median_blur,horizontal_flip,0.8171657145023346,0.7897118091583252,median_blur,0.8033710539340972,0.027453905344009377,0.013794660568237305
median_blur,random_crop,0.8248968482017517,0.7897118091583252,median_blur,0.8033710539340972,0.035185039043426514,0.02152579426765444
median_blur,rotation,0.8447442173957824,0.7897118091583252,median_blur,0.8033710539340972,0.05503240823745725,0.04137316346168518
median_blur,saturation,0.8026987075805664,0.7897118091583252,median_blur,0.8033710539340972,0.012986898422241211,-0.0006723463535308616
median_blur,scaling,0.8358032703399658,0.7897118091583252,median_blur,0.8033710539340972,0.04609146118164065,0.032432216405868575
median_blur,shear_x,0.8193625152111054,0.7897118091583252,median_blur,0.8033710539340972,0.029650706052780196,0.015991461277008123
median_blur,shear_y,0.8397759079933167,0.7897118091583252,median_blur,0.8033710539340972,0.05006409883499152,0.03640485405921945
median_blur,translate_x,0.8292206883430481,0.7897118091583252,median_blur,0.8033710539340972,0.0395088791847229,0.025849634408950828
median_blur,translate_y,0.8266258239746094,0.7897118091583252,median_blur,0.8033710539340972,0.0369140148162842,0.02325477004051213
median_blur,vertical_flip,0.8132632613182068,0.7897118091583252,median_blur,0.8033710539340972,0.023551452159881636,0.009892207384109564
random_crop,brightness,0.8233304262161255,0.7897118091583252,random_crop,0.8218026041984559,0.03361861705780034,0.0015278220176696555
random_crop,contrast,0.8212729513645172,0.7897118091583252,random_crop,0.8218026041984559,0.031561142206191994,-0.0005296528339386875
random_crop,elastic_transform,0.7823225080966949,0.7897118091583252,random_crop,0.8218026041984559,-0.007389301061630271,-0.03948009610176095
random_crop,equalize,0.8150551517804464,0.7897118091583252,random_crop,0.8218026041984559,0.025343342622121234,-0.0067474524180094475
random_crop,gaussian_blur,0.8249895393848419,0.7897118091583252,random_crop,0.8218026041984559,0.0352777302265167,0.0031869351863860196
random_crop,gaussian_noise,0.8390111207962037,0.7897118091583252,random_crop,0.8218026041984559,0.049299311637878485,0.017208516597747803
random_crop,grid_distortion,0.8270390689373016,0.7897118091583252,random_crop,0.8218026041984559,0.03732725977897644,0.005236464738845759
random_crop,horizontal_flip,0.831688129901886,0.7897118091583252,random_crop,0.8218026041984559,0.041976320743560835,0.009885525703430154
random_crop,median_blur,0.8223606467247009,0.7897118091583252,random_crop,0.8218026041984559,0.03264883756637571,0.0005580425262450284
random_crop,rotation,0.8454993367195129,0.7897118091583252,random_crop,0.8218026041984559,0.055787527561187766,0.023696732521057084
random_crop,saturation,0.8195350289344787,0.7897118091583252,random_crop,0.8218026041984559,0.029823219776153542,-0.0022675752639771396
random_crop,scaling,0.8374090075492859,0.7897118091583252,random_crop,0.8218026041984559,0.04769719839096076,0.015606403350830078
random_crop,shear_x,0.817497330904007,0.7897118091583252,random_crop,0.8218026041984559,0.02778552174568183,-0.0043052732944488525
random_crop,shear_y,0.8417616963386536,0.7897118091583252,random_crop,0.8218026041984559,0.052049887180328436,0.019959092140197754
random_crop,translate_x,0.8238228797912598,0.7897118091583252,random_crop,0.8218026041984559,0.034111070632934615,0.002020275592803933
random_crop,translate_y,0.8319435715675354,0.7897118091583252,random_crop,0.8218026041984559,0.04223176240921023,0.010140967369079545
random_crop,vertical_flip,0.8238492012023926,0.7897118091583252,random_crop,0.8218026041984559,0.034137392044067405,0.002046597003936723
rotation,brightness,0.8451606631278992,0.7897118091583252,rotation,0.8443025529384613,0.055448853969574,0.0008581101894378218
rotation,contrast,0.8456983447074891,0.7897118091583252,rotation,0.8443025529384613,0.055986535549163885,0.00139579176902771
rotation,elastic_transform,0.8109876334667205,0.7897118091583252,rotation,0.8443025529384613,0.021275824308395364,-0.03331491947174081
rotation,equalize,0.8357705891132354,0.7897118091583252,rotation,0.8443025529384613,0.046058779954910256,-0.008531963825225919
rotation,gaussian_blur,0.8361612379550933,0.7897118091583252,rotation,0.8443025529384613,0.046449428796768166,-0.008141314983368009
rotation,gaussian_noise,0.8523404717445373,0.7897118091583252,rotation,0.8443025529384613,0.06262866258621214,0.008037918806075961
rotation,grid_distortion,0.843591821193695,0.7897118091583252,rotation,0.8443025529384613,0.05388001203536985,-0.0007107317447663242
rotation,horizontal_flip,0.8444057166576385,0.7897118091583252,rotation,0.8443025529384613,0.054693907499313354,0.00010316371917717948
rotation,median_blur,0.8405835807323456,0.7897118091583252,rotation,0.8443025529384613,0.05087177157402045,-0.0037189722061157227
rotation,random_crop,0.8446102738380432,0.7897118091583252,rotation,0.8443025529384613,0.05489846467971804,0.00030772089958186477
rotation,saturation,0.8438527852296829,0.7897118091583252,rotation,0.8443025529384613,0.054140976071357705,-0.00044976770877847017
rotation,scaling,0.8411226391792297,0.7897118091583252,rotation,0.8443025529384613,0.05141083002090452,-0.003179913759231656
rotation,shear_x,0.833145660161972,0.7897118091583252,rotation,0.8443025529384613,0.04343385100364683,-0.011156892776489347
rotation,shear_y,0.829537320137024,0.7897118091583252,rotation,0.8443025529384613,0.0398255109786988,-0.014765232801437378
rotation,translate_x,0.8407629609107972,0.7897118091583252,rotation,0.8443025529384613,0.05105115175247199,-0.0035395920276641846
rotation,translate_y,0.8480337738990784,0.7897118091583252,rotation,0.8443025529384613,0.05832196474075324,0.0037312209606170654
rotation,vertical_flip,0.8364106953144074,0.7897118091583252,rotation,0.8443025529384613,0.0466988861560822,-0.007891857624053977
saturation,brightness,0.8136693954467773,0.7897118091583252,saturation,0.7910006821155549,0.023957586288452126,0.022668713331222445
saturation,contrast,0.8081674098968505,0.7897118091583252,saturation,0.7910006821155549,0.01845560073852537,0.017166727781295688
saturation,elastic_transform,0.7655810713768005,0.7897118091583252,saturation,0.7910006821155549,-0.024130737781524636,-0.025419610738754317
saturation,equalize,0.7986385226249695,0.7897118091583252,saturation,0.7910006821155549,0.00892671346664431,0.0076378405094146284
saturation,gaussian_blur,0.8051175773143768,0.7897118091583252,saturation,0.7910006821155549,0.015405768156051658,0.014116895198821977
saturation,gaussian_noise,0.8261910855770112,0.7897118091583252,saturation,0.7910006821155549,0.03647927641868598,0.0351904034614563
saturation,grid_distortion,0.8136856019496918,0.7897118091583252,saturation,0.7910006821155549,0.023973792791366577,0.022684919834136896
saturation,horizontal_flip,0.8091588139533996,0.7897118091583252,saturation,0.7910006821155549,0.01944700479507444,0.01815813183784476
saturation,median_blur,0.8007777392864227,0.7897118091583252,saturation,0.7910006821155549,0.011065930128097534,0.009777057170867853
saturation,random_crop,0.8199500679969788,0.7897118091583252,saturation,0.7910006821155549,0.03023825883865361,0.028949385881423928
saturation,rotation,0.841920918226242,0.7897118091583252,saturation,0.7910006821155549,0.05220910906791687,0.05092023611068719
saturation,scaling,0.8342755675315857,0.7897118091583252,saturation,0.7910006821155549,0.04456375837326054,0.04327488541603086
