augmentations,ops,split,train_fold,bacc,baseline_bacc,diff
all,4,0,1,0.80494225025177,0.731102705001831,0.07383954524993896
all,4,1,0,0.8178023099899292,0.7391587495803833,0.0786435604095459
all,4,1,1,0.8306163549423218,0.738571047782898,0.09204530715942383
all,4,2,0,0.8193895816802979,0.7275251150131226,0.09186446666717529
all,4,2,1,0.8140621185302734,0.7346861362457275,0.0793759822845459
all,4,3,0,0.8070920705795288,0.7262378334999084,0.08085423707962036
all,4,3,1,0.8232324123382568,0.7382703423500061,0.08496206998825073
all,4,4,0,0.8176546096801758,0.7214546203613281,0.09619998931884766
all,4,4,1,0.8267198801040649,0.749057412147522,0.07766246795654297
all,5,0,0,0.7994397878646851,0.7265173196792603,0.0729224681854248
all,5,0,1,0.8104879856109619,0.731102705001831,0.07938528060913086
all,5,1,0,0.8122818470001221,0.7391587495803833,0.07312309741973877
all,5,1,1,0.8202611804008484,0.738571047782898,0.08169013261795044
all,5,2,0,0.8234190940856934,0.7275251150131226,0.0958939790725708
all,5,2,1,0.8115203380584717,0.7346861362457275,0.07683420181274414
all,5,3,0,0.7883421182632446,0.7262378334999084,0.06210428476333618
all,5,3,1,0.8198107481002808,0.7382703423500061,0.08154040575027466
all,5,4,0,0.8180726766586304,0.7214546203613281,0.09661805629730225
all,5,4,1,0.8307327628135681,0.749057412147522,0.08167535066604614
geometric,1,0,0,0.7800653576850891,0.7265173196792603,0.05354803800582886
geometric,1,0,1,0.7860137224197388,0.731102705001831,0.054911017417907715
geometric,1,1,0,0.7868349552154541,0.7391587495803833,0.0476762056350708
geometric,1,1,1,0.7803846001625061,0.738571047782898,0.041813552379608154
geometric,1,2,0,0.7910605669021606,0.7275251150131226,0.06353545188903809
geometric,1,2,1,0.7736433744430542,0.7346861362457275,0.03895723819732666
geometric,1,3,0,0.7666294574737549,0.7262378334999084,0.040391623973846436
geometric,1,3,1,0.7994216680526733,0.7382703423500061,0.061151325702667236
geometric,1,4,0,0.7856665253639221,0.7214546203613281,0.064211905002594
geometric,1,4,1,0.7990033626556396,0.749057412147522,0.049945950508117676
geometric,2,0,0,0.7946778535842896,0.7265173196792603,0.0681605339050293
geometric,2,0,1,0.7959804534912109,0.731102705001831,0.06487774848937988
geometric,2,1,0,0.7912828922271729,0.7391587495803833,0.05212414264678955
geometric,2,1,1,0.7952480912208557,0.738571047782898,0.056677043437957764
geometric,2,2,0,0.8032511472702026,0.7275251150131226,0.07572603225708008
geometric,2,2,1,0.786251425743103,0.7346861362457275,0.05156528949737549
geometric,2,3,0,0.7844257354736328,0.7262378334999084,0.058187901973724365
geometric,2,3,1,0.8090583086013794,0.7382703423500061,0.07078796625137329
geometric,2,4,0,0.7876348495483398,0.7214546203613281,0.06618022918701172
geometric,2,4,1,0.7979207634925842,0.749057412147522,0.048863351345062256
geometric,3,0,0,0.7860410809516907,0.7265173196792603,0.05952376127243042
geometric,3,0,1,0.7955716848373413,0.731102705001831,0.06446897983551025
geometric,3,1,0,0.7980546951293945,0.7391587495803833,0.05889594554901123
geometric,3,1,1,0.8165414333343506,0.738571047782898,0.07797038555145264
geometric,3,2,0,0.8040243983268738,0.7275251150131226,0.07649928331375122
geometric,3,2,1,0.7892114520072937,0.7346861362457275,0.05452531576156616
geometric,3,3,0,0.7872463464736938,0.7262378334999084,0.0610085129737854
geometric,3,3,1,0.8180559277534485,0.7382703423500061,0.07978558540344238
geometric,3,4,0,0.8073263168334961,0.7214546203613281,0.08587169647216797
geometric,3,4,1,0.8123483657836914,0.749057412147522,0.06329095363616943
geometric,4,0,0,0.8019140958786011,0.7265173196792603,0.07539677619934082
geometric,4,0,1,0.8043798208236694,0.731102705001831,0.07327711582183838
geometric,4,1,0,0.8050631284713745,0.7391587495803833,0.06590437889099121
geometric,4,1,1,0.8106433749198914,0.738571047782898,0.07207232713699341
geometric,4,2,0,0.8049813508987427,0.7275251150131226,0.07745623588562012
geometric,4,2,1,0.7921026349067688,0.7346861362457275,0.05741649866104126
geometric,4,3,0,0.7947138547897339,0.7262378334999084,0.06847602128982544
geometric,4,3,1,0.8065100312232971,0.7382703423500061,0.06823968887329102
geometric,4,4,0,0.7997187972068787,0.7214546203613281,0.07826417684555054
geometric,4,4,1,0.815726637840271,0.749057412147522,0.06666922569274902
